T,TM,Tm,H,PP,VV,V,VM,PM 2.5
18.3,23.9,15,68,0,10.8,20.7,27.8,92
16.6,23.1,10,81,2.79,4.3,14.3,31.7,74
10.3,20,6,68,0,10.3,20,25.9,134
10.2,15.5,3.7,64,0,11.1,9.8,18.3,63
11.8,17,8.7,85,19.3,8.9,15.9,27.8,62
15.3,20.5,11.3,78,3.56,9.8,13.1,20.6,53
18.9,24.4,13,69,0.51,11.1,16.1,25.9,64
13.2,19,7,74,0,10.8,12.2,20.6,60
15.7,20.5,10,77,0,10.3,12,16.5,70
18.7,24,13,72,0.51,9.7,7.6,11.1,88
13.2,15,12,98,40.39,5.1,16.5,22.2,81
14.4,17,13,96,5.59,4.8,14.3,18.3,43
12.4,15,11,95,7.37,6.8,22.8,31.7,81
11.9,13.4,10.6,93,0.51,8.7,13.7,18.3,62
21.2,27,15.7,76,0,8.7,11.1,22.2,118
18.4,23.2,14.5,79,0.25,8.9,12.4,20.6,95
16.9,23,11.6,73,0,8.5,10.7,16.5,90
15.7,18.8,12.8,79,9.91,10.3,14.6,22.2,69
15.7,19.1,13,75,0.25,11.3,17,31.7,50
15,19.8,12,77,2.54,10.5,12.4,20.6,49
16.9,21.3,12.8,72,2.29,9.3,6.3,14.8,51
16.2,20.8,15,88,0,9.5,17.8,29.4,57
18.3,22.1,16,90,14.99,10,11.5,20.6,52
17,23.3,13.7,67,3.05,12.7,13.5,25.9,52
16.2,21,12,71,0,10.9,13.5,25.9,41
17.5,21.6,14.6,79,0.25,10.5,13.3,22.2,37
18.6,22,13.8,76,8.13,10.5,21.1,31.7,48
16.1,21.2,13.5,66,0.25,11.1,17.8,27.8,35
15.5,18,14,75,0,9,11.7,20.6,40
21.6,28.2,15,61,0,13.2,13.7,24.1,69
22.3,28.4,16,61,0,11.4,8.5,14.8,73
14.8,21.1,11.9,78,10.41,10.1,11.7,27.8,43
14.9,20.2,11,71,0.76,11.3,13.1,24.1,35
17.4,24,10.7,61,0.51,14,7.8,13,49
21.6,27.8,16.9,68,0,10.8,10.2,18.3,73
22.3,26.1,17.9,68,0,11.1,9.1,16.5,53
18.8,23.8,14,66,0,10.9,11.1,14.8,65
19.6,25.4,13.9,64,0,11.3,11.1,20.6,52
19.5,24.1,15,64,0,11.6,9.8,31.7,49
18.6,24.1,12.9,59,0,12.2,10.2,16.5,52
18.2,22,15,85,0.51,9.8,17.8,24.1,48
20.6,25,16.8,74,7.62,10.1,20.2,25.9,50
18.7,28.8,15.6,66,0,11.4,15,20.6,55
16.9,22.3,11.9,57,0,13.4,13,22.2,50
19.8,26.2,13.5,68,0,12.6,10.2,18.3,58
19.4,24,16,77,0.25,7.2,13.3,25.9,75
19.3,24.3,15,63,1.02,10.8,21.9,42.4,72
17.3,21.6,14.5,66,0.25,10.9,18.3,31.7,46
26.6,34,19,59,0,7.2,11.1,24.1,92
19.9,27,13.8,63,0,12.9,8.3,16.5,81
21.1,27.7,15,61,0,15,10,18.3,65
19.7,25.5,15,65,0,12.2,11.7,25.9,67
23.9,29,18,55,0,13,13.7,31.7,72
17.8,26.5,15.5,86,3.56,10,12.4,22.2,62
16.6,19.3,14,84,0,8,9.3,18.3,64
17.1,20.3,14.8,71,0.25,10,7.8,13,71
16.3,22.5,9.9,64,0.25,11.9,5.2,9.4,75
16.4,20.8,11,69,0.76,11.4,11.3,18.3,79
14.4,20.2,9.4,70,1.27,11.4,9.1,18.3,64
15,19.4,13,84,0,9.7,9.1,18.3,57
14.2,17,8,85,2.03,7.4,7.4,13,57
8.5,16,1,81,0,8.2,5.2,11.1,44
9.1,14.7,3.5,80,0,8.7,9.3,25.9,63
7.4,14,0.9,82,0,9,6.3,20.6,75
9.2,11,6.9,90,2.54,9.5,12.4,27.8,104
11.1,14.3,9,92,28.19,14.3,17,31.7,67
12.6,18.3,5,83,16,10.5,7,18.3,70
8.2,13,2.5,85,0,10.3,6.3,18.3,56
8.8,13,5,76,0,11.6,13.7,25.9,46
7.8,13.2,1.5,84,0,10.5,7.2,24.1,51
14.6,17.5,10.3,94,20.83,13.2,8.3,18.3,86
12,14.6,9.4,95,24.89,7.2,8.3,22.2,95
10.1,12.4,7,92,1.02,9.2,10.6,16.5,92
7.9,16,0.5,86,0,2.7,10.7,20.6,82
11.3,18.1,6,80,0,8,14.4,27.8,70
9.3,15.3,4.9,88,0,8.9,11.1,16.5,82
7.1,10.6,2,83,0,9.8,7.6,14.8,71
3.2,8,-1,81,0.51,8.9,4.8,13,62
1.9,4.4,-3,88,0,9.8,8,18.3,53
1.8,5,-3.6,96,0.25,8.5,11.3,18.3,62
5.4,8.2,-0.7,82,0,9.7,10.2,20.6,113
4.3,6.6,3,92,0,8.5,12.6,24.1,68
2.7,6.3,-1,86,0,8.9,9.4,29.4,81
8.2,11.5,2.1,79,2.03,10.5,7.6,22.2,38
11.9,17,2,60,0.76,13.2,13.7,27.8,42
16.2,17.4,14.3,56,0,15.3,28.2,40.7,42
9.3,14.6,6.6,90,7.87,6.8,6.7,16.5,78
8,14.6,2,87,2.54,8.2,7.6,13,89
5.3,9,1.6,92,0,8.5,11.5,18.3,97
-0.6,5,-4,93,0,6.3,5.2,13,117
-1.6,0.3,-5.2,92,0,5.6,8.9,18.3,170
0.8,4.4,-3,90,0,4.8,13.9,24.1,176
1.7,9,-4.8,78,0,6.4,14.1,20.6,155
-0.1,7,-5,91,0,4.2,7.6,18.3,69
4.2,10.4,-0.2,66,0,11.6,17.8,27.8,95
-0.1,3,-2,91,0,7.2,10.6,24.1,78
1.8,4,0.2,96,4.06,4.5,2.6,7.6,73
1.1,4,-1.7,94,0,4.8,6.5,13,80
5.6,9.3,1.5,84,0,10.5,7.2,20.6,50
5.6,8.1,-1,89,0,10.6,8,14.8,49
3.9,7.9,-1,93,0,9,9.3,16.5,46
